Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
188,Value Display,NAE171/Field Bus2.BNET-CH2.VGD POSITION,AV:3052864,,,766.0,418.5,746.5,413.0,39.0,11.1,53.19,55.73,,
189,Value Display,NAE171/Field Bus2.FEC-LP.LP2-SC,AO:3050512,,,1131.0,576.5,1112.2,569.6,37.6,13.7,78.54,76.76,,
190,Value Display,NAE171/Field Bus2.FEC-CH1.CH1-HAND,BI:3051544,,,784.8,284.5,763.7,277.7,42.2,13.6,54.5,37.88,,
191,Value Display,NAE171/Field Bus2.FEC-LP.LP Parameters.C-PCWF-WSP,AV:3050582,,,1284.0,576.5,1255.8,569.0,56.5,15.0,89.17,76.76,,
192,Value Display,NAE171/Field Bus2.FEC-LP.LCWR-P,AI:3057098,,,1384.5,657.5,1362.6,651.3,43.8,12.4,96.15,87.55,,
193,Value Display,NAE171/Field Bus2.BNET-CH1.EVAPORATOR PRESSURE,AV:3053215,,,844.0,326.5,821.6,320.0,44.8,13.0,58.61,43.48,,
194,Value Display,NAE171/Field Bus2.FEC-TRT.TW-COND,AI:3050939,,,295.7,390.5,272.5,383.1,46.5,14.8,20.54,52.0,,
195,Value Display,NAE171/Field Bus2.FEC-LP.LP3-VLV,BO:3050511,,,1078.0,661.5,1059.3,655.5,37.4,12.0,74.86,88.08,,
196,Value Display,NAE171/Field Bus2.FEC-LP.BCW-V1,AO:3050496,,,1289.0,391.5,1261.4,385.0,55.2,13.0,89.51,52.13,,
197,Value Display,NAE171/Field Bus2.FEC-LP.LP1-VLV,BO:3050497,,,1078.0,506.5,1059.3,500.5,37.4,12.0,74.86,67.44,,
198,Value Display,NAE171/Field Bus2.KW-TF4.AI-5,AI:3052093,,,293.0,62.5,281.2,56.8,23.5,11.5,20.35,8.32,,
199,Value Display,NAE171/Field Bus2.FEC-LP.LP2-SS,BO:3050506,,,1131.0,560.5,1112.2,553.6,37.6,13.7,78.54,74.63,,
200,Value Display,NAE171/Field Bus2.FAC-TOWER.TF1-SC,AO:3050785,,,79.0,42.7,60.2,35.9,37.6,13.7,5.49,5.69,,
201,Value Display,NAE171/Field Bus2.FEC-CH1.Parameters.CH1-%LOAD,AV:3051580,,,713.0,287.5,678.8,280.5,68.5,14.0,49.51,38.28,,
202,Value Display,NAE171/Field Bus2.FEC-TRT.TW-BLWDWN,BO:3050942,,,361.0,557.5,340.1,551.5,41.8,12.0,25.07,74.23,,
203,Value Display,NAE171/Field Bus2.BNET-CH1.LEAVING COND WATER TEMP,AV:3053213,,,572.0,181.5,560.2,175.8,23.5,11.5,39.72,24.17,,
204,Value Display,NAE171/Field Bus2.BNET-CH1.LEAVING CH LIQ TEMP,AV:3053211,,,867.0,224.5,855.2,218.8,23.5,11.5,60.21,29.89,,
205,Value Display,NAE171/Field Bus2.FAC-TOWER.TW-V1,BO:3050803,,,141.0,216.5,120.1,210.5,41.8,12.0,9.79,28.83,,
206,Value Display,NAE171/Field Bus2.FAC-TOWER.TF1-SS,BO:3050786,,,79.0,27.5,60.2,20.6,37.6,13.7,5.49,3.66,,
207,Value Display,NAE171/Field Bus2.BNET-CH2.ENTERING COND WATER TEMP,AV:3052804,,,554.0,463.5,542.2,457.8,23.5,11.5,38.47,61.72,,
208,Value Display,NAE171/Field Bus2.FEC-CH2.CH2-TISO-V,AO:3051565,,,500.0,479.5,474.0,473.5,52.0,12.0,34.72,63.85,,
209,Value Display,NAE171/Field Bus2.BNET-CH3.LEAVING COND WATER TEMP,AV:3051062,,,572.0,558.5,560.2,552.8,23.5,11.5,39.72,74.37,,
210,Value Display,NAE171/Field Bus2.FEC-CH1.Parameters.CH1-LOAD,AV:3051579,,,713.0,270.5,678.8,262.5,68.5,16.0,49.51,36.02,,
211,Value Display,NAE171/Field Bus2.FEC-LP.BP2-SS,BO:3050487,,,1151.0,269.5,1132.2,262.6,37.6,13.7,79.93,35.89,,
212,Value Display,NAE171/Field Bus2.FEC-CH1.CH1-TISO-V,AO:3051549,,,501.0,292.5,475.0,286.5,52.0,12.0,34.79,38.95,,
213,Value Display,NAE171/Field Bus2.BNET-CH3.INPUT CURRENT PCT FLA,AV:3051078,,,764.0,591.5,744.5,586.0,39.0,11.1,53.06,78.76,,
214,Value Display,NAE171/Field Bus2.FAC-TOWER.Parameters.TF-TWST-WSP,AV:3050897,,,168.0,352.5,149.1,344.5,37.8,16.0,11.67,46.94,,
215,Value Display,NAE171/Field Bus2.FAC-TOWER.Parameters.TWFlow-GPMSP,AV:3050880,,,328.0,628.5,301.2,620.2,53.5,16.5,22.78,83.69,,
216,Value Display,NAE171/Field Bus2.FAC-TOWER.TWMU-F,AI:3050778,,,163.0,509.5,141.2,503.0,43.5,13.0,11.32,67.84,,
217,Button (Link),,,FEC-TRT,NAE171/Field Bus2.FEC-TRT,294.0,340.5,257.2,331.5,73.5,18.0,20.42,45.34,,
218,Button (Link),,,BNET-CH3,NAE171/Field Bus2.BNET-CH3,837.7,587.5,797.5,578.5,80.5,18.0,58.18,78.23,,
219,Button (Link),,,FEC-LP,NAE171/Field Bus2.FEC-LP,1240.2,525.5,1207.6,516.5,65.3,18.0,86.13,69.97,,
220,Button (Link),,,FEC-CH1,NAE171/Field Bus2.FEC-CH1,840.1,189.5,803.2,180.5,73.8,18.0,58.34,25.23,,
221,Button (Link),,,FEC-CH3,NAE171/Field Bus2.FEC-CH3,838.1,567.5,801.2,558.5,73.8,18.0,58.2,75.57,,
222,Button (Link),,,FAC-TOWER,NAE171/Field Bus2.FAC-TOWER,136.0,417.5,90.2,408.5,91.5,18.0,9.44,55.6,,
223,Button (Link),,,TRT Graphic,umc-em-adx/Graphics.Chilled Water.Chillers.Twr Trt - Hearnes,295.0,320.5,250.1,311.5,89.8,18.0,20.49,42.68,,
224,Button (Link),,,BNET-CH1,NAE171/Field Bus2.BNET-CH1,840.2,209.5,799.5,200.5,81.5,18.0,58.35,27.9,,
225,Button (Link),,,Parameters,NAE171/Field Bus2.FAC-TOWER.Parameters,136.0,441.5,95.3,432.5,81.3,18.0,9.44,58.79,,
226,Button (Link),,,Parameters,NAE171/Field Bus2.FEC-LP.LP Parameters,1240.2,546.5,1202.5,537.5,75.5,18.0,86.13,72.77,,
227,Button (Link),,,BNET-CH2,NAE171/Field Bus2.BNET-CH2,837.7,397.5,797.5,388.5,80.5,18.0,58.18,52.93,,
228,Button (Link),,,FEC-CH2,NAE171/Field Bus2.FEC-CH2,837.6,377.5,801.2,368.5,72.8,18.0,58.17,50.27,,
229,Button (Link),,,BP Parameters,NAE171/Field Bus2.FEC-LP.BP Parameters,1203.4,336.5,1166.0,327.5,74.8,18.0,83.57,44.81,,
230,Value Display,NAE171/Field Bus2.FEC-LP.LP Parameters.LPSC-WSP Rate Limiter,AV:3053143,,,1132.0,455.5,1113.3,449.5,37.4,12.0,78.61,60.65,,
231,Text Label,,,PCWF-WSP RL,,1076.0,456.5,1037.8,448.5,76.4,16.0,74.72,60.79,,
