Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
206,Value Display,NAE167/Field Bus1.CH3.Parameters.CH3-STH-OA-WB,AV:3001278,,,596.0,136.0,576.7,129.5,38.5,13.0,38.21,16.19,,
207,Value Display,NAE167/Field Bus1.CH1.Parameters.TF-TWST-SP,AV:3005964,,,385.0,83.0,364.0,76.3,42.0,13.4,24.68,9.88,,
208,Text Label,,,MU User Enable,,364.0,245.0,319.0,237.0,90.0,16.0,23.33,29.17,,
209,Value Display,NAE167/Field Bus1.CH2.CH2-HAND,BI:3005837,,,751.2,691.0,730.2,684.8,42.0,12.5,48.15,82.26,,
210,Value Display,NAE167/Field Bus1.CH1.Parameters.TWMU-USER-ENB,MV:3005950,,,366.0,259.0,343.6,252.0,44.8,14.0,23.46,30.83,,
211,Value Display,NAE167/Field Bus1.CH1.CH1-KW2,AI:3005851,,,722.0,279.0,696.2,271.7,51.6,14.6,46.28,33.21,,
212,Button (Link),,,FAC-CH2,NAE167/Field Bus1.CH2,731.0,550.0,690.0,541.0,82.0,18.0,46.86,65.48,,
213,Button (Link),,,YK Safety/Warning Codes,umc-em-adx/Graphics.Chilled Water.Chillers.York YK Codes 1,860.5,478.4,781.0,469.4,159.0,18.0,55.16,56.95,,
214,Button (Link),,,BNET-CH2,NAE167/Field Bus1.BNET-CH2,732.5,572.0,688.0,563.0,89.0,18.0,46.96,68.1,,
215,Button (Link),,,GC Pts,NAE72/N2 Trunk 1.UNT-GC,1318.0,709.0,1287.5,700.0,61.0,18.0,84.49,84.4,,
216,Button (Link),,,FEC-CH1,NAE167/Field Bus1.CH1,680.0,252.0,636.5,243.0,87.1,18.0,43.59,30.0,,
217,Button (Link),,,Twr Trt ,umc-em-adx/Graphics.Chilled Water.Chillers.Twr Trt-Life Sci(1),219.0,192.0,181.9,183.0,74.2,18.0,14.04,22.86,,
218,Button (Link),,,TRT Graphic,umc-em-adx/Graphics.Chilled Water.Chillers.Twr Trt-Life Sci(1),552.0,433.0,493.3,424.0,117.4,18.0,35.38,51.55,,
219,Button (Link),,,ElevRm CW Start,NAE72/Programming.Interlocks.ElevRmTemp CWBP OA Start,1480.0,354.0,1427.5,345.0,105.0,18.0,94.87,42.14,,
220,Button (Link),,,LP Pts,NAE167/Field Bus1.LP12.Parameters,1078.0,146.0,1037.8,137.0,80.5,18.0,69.1,17.38,,
221,Button (Link),,,LP12-FEC,NAE167/Field Bus1.LP12,1079.0,122.0,1037.0,113.0,84.0,18.0,69.17,14.52,,
222,Button (Link),,,YK Cycling Codes,umc-em-adx/Graphics.Chilled Water.Chillers.York YK Codes 2,861.0,503.0,798.5,494.0,125.0,18.0,55.19,59.88,,
