Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
367,Value Display,NAE6/Field Bus2.FEC-TRT2.CHEM-DP2,AI:3029195,,,1571.0,710.5,1554.1,704.8,33.7,11.5,90.6,89.15,,
368,Value Display,NAE6/Field Bus2.FEC-CH8.CH8-AUTO,BI:3026992,,,1567.0,361.5,1551.7,356.4,30.5,10.2,90.37,45.36,,
369,Value Display,NAE6/Field Bus1.FEC-TP.TWS-HEADER-V2,AO:3054439,,,835.0,502.5,806.1,495.1,57.8,14.8,48.15,63.05,,
370,Value Display,NAE6/Field Bus1.FEC-LP.LP3-VLV,BO:3052976,,,746.0,129.5,731.2,123.2,29.6,12.5,43.02,16.25,,
371,Value Display,NAE6/Field Bus1.CH2-BACnet.AV-112,AV:3054078,,,178.0,326.5,158.8,320.4,38.3,12.2,10.27,40.97,,
372,Value Display,NAE6/Field Bus1.FEC-TP.TWMU3-V,AO:3054366,,,921.0,690.5,894.4,684.9,53.2,11.2,53.11,86.64,,
373,Text Label,,,kW/Ton,,716.0,341.5,692.0,333.0,48.0,17.0,41.29,42.85,,
374,Value Display,NAE6/Field Bus2.FEC-TRT2.TW-COND2,AI:3029198,,,1649.6,692.5,1629.2,685.2,40.8,14.5,95.13,86.89,,
375,Value Display,NAE6/Field Bus1.FEC-TF.TWOA-DB,AI:3052896,,,1384.0,40.5,1366.2,31.4,35.7,18.1,79.82,5.08,,
376,Value Display,NAE6/Field Bus2.FEC-TRT2.TW-BLW2-F,AI:3029192,,,1099.0,502.5,1077.8,495.0,42.5,15.0,63.38,63.05,,
377,Text Label,,,AVG TWRT,,617.0,732.5,587.0,724.5,60.0,16.0,35.58,91.91,,
378,Value Display,NAE6/Field Bus2.FEC-CH6.CH6-AUTO,BI:3026950,,,1207.0,358.5,1191.7,353.4,30.5,10.2,69.61,44.98,,
379,Value Display,NAE6/Field Bus2.CH5-BACnet.AV-12,AV:3033135,,,1064.0,345.5,1044.8,339.4,38.3,12.2,61.36,43.35,,
380,Text Label,,,kW/Ton,,1117.6,306.5,1102.6,301.5,30.0,10.0,64.45,38.46,,
381,Value Display,NAE6/Field Bus1.FEC-CH2.CH2TWS-T,AI:3052926,,,166.0,450.5,150.8,443.2,30.4,14.5,9.57,56.52,,
382,Text Label,,,Tower 1 Evaporation,,730.0,629.5,674.0,621.5,112.0,16.0,42.1,78.98,,
383,Value Display,NAE6/Field Bus2.CH7-BACnet.AV-13,AV:3038567,,,1473.0,290.5,1457.8,283.2,30.4,14.5,84.95,36.45,,
384,Value Display,NAE6/Field Bus2.CH7-BACnet.AV-17,AV:3038592,,,1416.0,291.5,1391.2,286.1,49.5,10.9,81.66,36.57,,
385,Value Display,NAE6/Field Bus2.FEC-CH8.CH8TWR-T1,AI:3027000,,,1560.0,416.5,1544.8,409.2,30.4,14.5,89.97,52.26,,
386,Value Display,NAE6/Field Bus2.FEC-CH8.CH8TW-F,AI:3027002,,,1490.0,432.5,1470.5,425.0,39.0,15.0,85.93,54.27,,
387,Value Display,NAE6/Field Bus2.FEC-AHU2.BCW-F2,AI:3027018,,,1550.0,84.5,1530.5,77.0,39.0,15.0,89.39,10.6,,
388,Value Display,NAE6/Field Bus1.FEC-CH4.CH4TWS-T,AI:3052956,,,403.0,450.5,387.8,443.2,30.4,14.5,23.24,56.52,,
389,Value Display,NAE6/Field Bus1.CH3-BACnet.AV-12,AV:3054097,,,279.0,308.5,259.8,302.4,38.3,12.2,16.09,38.71,,
390,Value Display,NAE6/Field Bus2.FEC-CH7.CH7TW-V,AO:3026987,,,1353.0,433.5,1325.0,427.7,55.9,11.6,78.03,54.39,,
