Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
175,Value Display,NAE189/Field Bus1.GTP-BP.Parameters.GTP INCW-LOAD,AV:3002529,,,1436.5,410.0,1397.8,401.5,77.5,17.0,95.58,53.39,,
176,Value Display,NAE189/Field Bus1.GTP-CH1.CH1-TWR-T,AI:3002728,,,55.5,388.0,38.7,380.7,33.6,14.5,3.69,50.52,,
177,Value Display,NAE189/Field Bus1.GTP-LP.LP3-SC,AO:3002631,,,141.5,691.1,123.5,684.5,36.1,13.2,9.41,89.98,,
178,Value Display,NAE189/Programming.PCW Data.GTP-TP-KWpTon,AV:3002841,,,1450.5,277.0,1431.0,269.7,39.0,14.6,96.51,36.07,,
179,Value Display,NAE189/Field Bus1.GTP-BP.BP2-SC,AO:3002509,,,1270.5,578.0,1256.1,573.4,28.8,9.2,84.53,75.26,,
180,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-TWS-T,AI:3002921,,,858.7,359.0,841.9,351.7,33.6,14.5,57.14,46.74,,
181,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-HAND,BI:3002747,,,316.0,520.7,300.3,516.0,31.4,9.5,21.02,67.8,,
182,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW5S-T,AI:3003206,,,748.5,165.0,731.7,157.7,33.6,14.5,49.8,21.48,,
183,Value Display,NAE189/Field Bus1.GTP-LP.Parameters.LP-MINLP-DP-RS,AV:3003614,,,486.0,726.0,465.2,719.2,41.5,13.5,32.34,94.53,,
184,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW23S-T,AI:3002562,,,176.5,238.0,157.5,229.9,38.0,16.3,11.74,30.99,,
185,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW23-TRASAR-INTLCK,BO:3019716,,,355.5,232.0,337.5,225.4,36.1,13.2,23.65,30.21,,
186,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW4-LVL,AI:3003151,,,638.5,103.0,619.4,96.1,38.2,13.7,42.48,13.41,,
187,Value Display,NAE189/Field Bus1.GTP-TOWER48.TF5-SS,BO:3003173,,,717.5,31.0,699.5,24.4,36.1,13.2,47.74,4.04,,
188,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW4-OADB,AI:3003165,,,519.5,29.0,503.5,21.9,32.1,14.2,34.56,3.78,,
189,Value Display,NAE189/Field Bus1.GTP-AH3.DA-T,AI:3002370,,,1434.5,527.0,1419.0,520.4,31.0,13.2,95.44,68.62,,
190,Value Display,NAE189/Field Bus1.GTP-LP.LP4-SC,AO:3002632,,,62.5,691.1,44.5,684.5,36.1,13.2,4.16,89.98,,
