Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
31,Value Display,NAE110/Programming.PCW Data.Submeter Loads Added.SRC-PAUs2025-CWLOAD,AV:3190452,,,973.2,167.0,949.5,161.0,47.5,12.0,64.37,21.09,,Point on NAE110 (outside the five controllers)
32,Text Label,,,Comp,,764.0,197.0,745.8,188.5,36.5,17.0,50.53,24.87,,
33,Value Display,NAE5/Programming.Data Points.TF-KWpTon,AV:3022361,,,806.0,294.0,786.9,286.0,38.2,16.0,53.31,37.12,,
34,Value Display,NAE5/N2 Trunk 1.DX-TWR.Parameters.MUV-SP,AO:3012721,,,464.0,249.0,446.0,240.0,36.0,18.0,30.69,31.44,,
35,Value Display,NAE5/N2 Trunk 1.DX-TWR.Parameters.TWV-WSP,AO:3009865,,,125.0,530.0,106.7,521.3,36.5,17.3,8.27,66.92,,
36,Value Display,NAE5/Field Bus2.SRC-BLCW.LP1-C,BO:3028212,,,949.2,527.0,931.6,519.9,35.2,14.2,62.78,66.54,,
37,Value Display,NAE5/Field Bus2.SRC-PAU2.CC-T,AI:3030127,,,1052.0,194.0,1035.1,187.3,33.8,13.3,69.58,24.49,,
38,Text Label,,,2005,,609.0,654.0,595.0,646.0,28.0,16.0,40.28,82.58,,
39,Value Display,NAE5/N2 Trunk 1.DX-CH2.Parameters.CH-SRATE,AO:3009853,,,588.4,631.0,574.5,624.6,27.8,12.7,38.91,79.67,,
40,Value Display,NAE5/N2 Trunk 1.DX-CH2.CH2TW-F,AI:3012884,,,302.0,613.0,277.4,604.6,49.2,16.7,19.97,77.4,,
41,Value Display,NAE5/Field Bus2.SRC-BLCW.BCWS-T,AI:3028199,,,1351.0,474.0,1334.8,465.0,32.3,18.0,89.35,59.85,,
42,Value Display,NAE5/Field Bus2.SRC-BLCW.LP2-C,BO:3028213,,,949.2,586.0,931.6,578.9,35.2,14.2,62.78,73.99,,
43,Value Display,NAE110/Programming.Chiller Plant Data.Data Points.SRC ChP Chlr HkWp Ton,AV:3157639,,,806.0,179.0,786.9,171.0,38.2,16.0,53.31,22.6,,Point on NAE110 (outside the five controllers)
44,Text Label,,,NDX,,543.0,415.0,532.5,407.5,21.0,15.0,35.91,52.4,,
45,Text Label,,,2005,,609.0,472.0,595.0,464.0,28.0,16.0,40.28,59.6,,
46,Text Label,,,Aux,,762.0,215.0,743.8,206.5,36.5,17.0,50.4,27.15,,
47,Value Display,NAE5/Field Bus2.SRC-BLCW.Parameters.CWDP-SPactive,AV:3028231,,,1303.3,235.0,1280.5,227.6,45.5,14.7,86.19,29.67,,
48,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWR1-LVL,AI:3011302,,,468.0,270.0,446.0,261.0,44.0,18.0,30.95,34.09,,
49,Text Label,,,KW/Ton,,800.0,161.0,774.5,152.5,51.0,17.0,52.91,20.33,,
50,Value Display,NAE5/N2 Trunk 1.AH-14.SF-SS,BO:3007544,,,914.0,357.0,896.4,349.9,35.2,14.2,60.45,45.08,,
51,Value Display,NAE5/Field Bus2.SRC-BLCW.BPV-O,AO:3028203,,,1348.0,332.0,1318.9,324.0,58.2,16.0,89.15,41.92,,
52,Value Display,NAE110/Programming.Chiller Plant Data.Data Points.SRC ChP Chlr Aux kWp Ton,AV:3157640,,,806.0,215.0,786.9,207.0,38.2,16.0,53.31,27.15,,Point on NAE110 (outside the five controllers)
53,Value Display,NAE5/Programming.Data Points.SRC CW-LOAD,AV:3010093,,,1150.0,285.0,1115.1,274.0,69.7,22.1,76.06,35.98,,
54,Value Display,NAE5/Field Bus2.SRC-BLCW.BCW-F,AI:3028201,,,1327.0,290.0,1303.0,281.0,48.0,18.0,87.76,36.62,,
55,Value Display,NAE5/N2 Trunk 1.DX-AH9.SA-T,AI:3007075,,,1019.0,276.0,1002.1,269.3,33.8,13.3,67.39,34.85,,
56,Value Display,NAE5/N2 Trunk 1.DX-TWR.TP1&2-SS,BO:3018133,,,199.5,522.5,175.0,515.0,49.0,15.0,13.19,65.98,,
57,Text Label,,,Enable,,502.0,457.0,485.0,451.5,34.0,11.0,33.2,57.7,,
58,Value Display,NAE5/Field Bus2.SRC-PAU1.CW-F,AI:3030325,,,1016.0,210.3,999.1,203.7,33.8,13.3,67.2,26.56,,
59,Value Display,NAE5/N2 Trunk 1.DX-CH1.CHR-T,AI:3007378,,,698.0,488.0,681.8,479.0,32.3,18.0,46.16,61.62,,
60,Value Display,NAE5/N2 Trunk 1.DX-CH1.CH1TW-F,AI:3012882,,,304.0,424.0,279.9,415.6,48.2,16.7,20.11,53.54,,
61,Value Display,NAE5/N2 Trunk 1.DX-CH2.Parameters.SRC2-NDX,AO:3009848,,,544.0,614.0,530.1,607.6,27.8,12.7,35.98,77.53,,
62,Text Label,,,TP1&2-SS,,199.5,505.0,171.0,497.0,57.0,16.0,13.19,63.76,,
63,Value Display,NAE5/Field Bus2.SRC-BLCW.BP1-O,AO:3028202,,,1308.0,383.4,1290.4,376.8,35.2,13.2,86.51,48.41,,
64,Value Display,NAE5/N2 Trunk 1.DX-CH1.Parameters.CH-LOAD,AO:3009841,,,608.0,415.0,578.5,409.1,59.0,11.7,40.21,52.4,,
65,Value Display,NAE5/N2 Trunk 1.DX-AH10.SA-T,AI:3007119,,,1063.0,276.0,1046.1,269.3,33.8,13.3,70.3,34.85,,
66,Value Display,NAE5/N2 Trunk 1.DX-CH1.Parameters.SRC1-NDX,AO:3009838,,,542.0,426.0,528.1,419.6,27.8,12.7,35.85,53.79,,
67,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF2B-SC,AO:3007502,,,392.0,146.0,369.8,139.3,44.4,13.5,25.93,18.43,,
68,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWS1-T,AI:3007485,,,401.0,430.0,384.8,421.0,32.3,18.0,26.52,54.29,,
69,Value Display,NAE5/Field Bus2.SRC-BLCW.Parameters.LPPID-LOL,AV:3028287,,,1155.0,502.0,1130.2,494.7,49.5,14.6,76.39,63.38,,
70,Value Display,NAE5/N2 Trunk 1.DX-CH2.CHS-T,AI:3007400,,,693.0,618.0,676.8,609.0,32.3,18.0,45.83,78.03,,
71,Value Display,NAE5/N2 Trunk 1.DX-TWR.CND-LVL,AI:3007494,,,612.0,191.0,594.5,184.6,35.0,12.7,40.48,24.12,,
72,Value Display,NAE5/N2 Trunk 1.AH-14.ZN-T,AI:3007301,,,1105.0,363.0,1084.8,353.0,40.4,20.0,73.08,45.83,,
73,Value Display,NAE5/N2 Trunk 1.DX-TWR.PH-LVL,AI:3007491,,,609.0,171.0,593.1,164.6,31.9,12.7,40.28,21.59,,
74,Value Display,NAE5/Field Bus2.SRC-PAU3.CC-T,AI:3030929,,,1088.0,194.0,1071.1,187.3,33.8,13.3,71.96,24.49,,
75,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF1B-SS,BO:3007764,,,198.0,160.9,175.8,154.2,44.4,13.5,13.1,20.32,,
76,Value Display,NAE5/N2 Trunk 1.DX-CH1.CST-MTR,AI:3007380,,,501.0,379.0,478.1,373.1,45.9,11.7,33.13,47.85,,
77,Value Display,NAE5/N2 Trunk 1.DX-CH2.CH-AUTO,BI:3007417,,,497.0,625.0,479.8,619.0,34.4,11.9,32.87,78.91,,
78,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF2B-SS,BO:3007768,,,392.0,160.9,369.8,154.2,44.4,13.5,25.93,20.32,,
79,Text Label,,,TP,,774.0,277.0,762.4,268.5,23.2,17.0,51.19,34.97,,
80,Value Display,NAE5/N2 Trunk 1.DX-CH2.CST-MTR,AI:3007405,,,502.1,557.0,479.1,551.1,45.9,11.7,33.2,70.33,,
81,Value Display,NAE5/N2 Trunk 1.DX-TWR.MU-VLV,AO:3012719,,,85.0,397.0,55.9,390.0,58.1,14.0,5.62,50.13,,
82,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWS2-T,AI:3007489,,,400.0,616.0,383.8,607.0,32.3,18.0,26.46,77.78,,
83,Value Display,NAE5/Field Bus2.SRC-BLCW.BCW-DP,AI:3028204,,,1246.0,241.0,1226.9,234.5,38.2,13.0,82.41,30.43,,
84,Value Display,NAE5/N2 Trunk 1.DX-CH2.STM-PRS,AI:3007407,,,581.1,556.0,564.2,550.1,33.8,11.7,38.43,70.2,,
85,Value Display,NAE5/Field Bus2.SRC-PAU5.CW-F,AI:3029120,,,1161.0,210.3,1144.1,203.7,33.8,13.3,76.79,26.56,,
86,Value Display,NAE5/Field Bus2.SRC-BLCW.LP1-O,AO:3028208,,,949.2,543.0,931.6,535.9,35.2,14.2,62.78,68.56,,
87,Value Display,NAE5/Field Bus2.SRC-PAU3.CLG-O,AO:3030919,,,1088.0,179.0,1071.1,172.3,33.8,13.3,71.96,22.6,,
88,Value Display,NAE5/N2 Trunk 1.DX-CH2.CHR-T,AI:3007403,,,694.0,675.0,677.8,666.0,32.3,18.0,45.9,85.23,,
89,Value Display,NAE5/N2 Trunk 1.AH-14.TEMP-LL,BI:3007533,,,914.0,375.0,896.4,367.9,35.2,14.2,60.45,47.35,,
90,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWBP-VLV,AO:3007504,,,211.0,327.0,179.1,319.3,63.8,15.5,13.96,41.29,,
91,Text Label,,,Total,,762.0,179.0,743.8,170.5,36.5,17.0,50.4,22.6,,
92,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF2A-SS,BO:3007766,,,324.0,160.9,301.8,154.2,44.4,13.5,21.43,20.32,,
93,Value Display,NAE5/Field Bus2.SRC-BLCW.LP2-O,AO:3028210,,,949.2,603.0,931.6,595.9,35.2,14.2,62.78,76.14,,
94,Value Display,NAE5/Field Bus2.SRC-BLCW.Parameters.LPFLW-SP,AV:3028259,,,1155.0,469.0,1130.2,461.7,49.5,14.6,76.39,59.22,,
95,Value Display,NAE5/Field Bus2.SRC-BLCW.PCW-F,AI:3028211,,,1128.0,533.0,1104.0,524.6,48.0,16.9,74.6,67.3,,
96,Value Display,NAE5/N2 Trunk 1.DX-CH2.Parameters.CH-%LOAD,AO:3009854,,,604.0,615.0,574.5,609.1,59.0,11.7,39.95,77.65,,
97,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF2A-SC,AO:3007500,,,324.0,146.0,301.8,139.3,44.4,13.5,21.43,18.43,,
98,Value Display,NAE45/Programming.Weather Station.OAWB-T,AV:3021786,,,496.4,105.0,477.9,97.6,37.1,14.7,32.83,13.26,,Point on NAE45 (outside the five controllers)
99,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF1B-SC,AO:3007498,,,198.0,146.0,175.8,139.3,44.4,13.5,13.1,18.43,,
100,Value Display,NAE5/N2 Trunk 1.DX-TWR.TWF1A-SS,BO:3007762,,,130.0,160.9,107.8,154.2,44.4,13.5,8.6,20.32,,
101,Value Display,NAE5/Field Bus2.SRC-PAU2.CLG-O,AO:3030117,,,1052.0,179.0,1035.1,172.3,33.8,13.3,69.58,22.6,,
102,Value Display,NAE5/Field Bus2.SRC-BLCW.Parameters.HICLG-O,AV:3028247,,,1303.0,261.0,1280.3,253.6,45.5,14.7,86.18,32.95,,
103,Value Display,NAE5/N2 Trunk 1.DX-TWR.BLOWDOWN,BO:3027000,,,566.0,288.0,547.2,280.9,37.6,14.2,37.43,36.36,,
104,Value Display,NAE45/Programming.LBCS.Data Points.CH-SEQ,AV:3006658,,,1051.0,44.0,1025.2,32.0,51.5,24.0,69.51,5.56,,Point on NAE45 (outside the five controllers)
105,Text Label,,,"Mech. 
Room Temp.",,1108.0,338.0,1073.0,323.0,70.0,30.0,73.28,42.68,,
106,Value Display,NAE5/Field Bus2.SRC-BLCW.PCWR-T,AI:3028214,,,1214.0,646.0,1197.8,637.0,32.3,18.0,80.29,81.57,,
107,Value Display,NAE5/Programming.Data Points.CP-KWpTon,AV:3022355,,,806.0,240.0,786.9,232.0,38.2,16.0,53.31,30.3,,
