Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-107,AV:3053113,CH1 MTR SHAFT END TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-108,AV:3053112,CH1 MTR OP SHAFT END TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-109,AV:3053111,CH1 MTR WINDING AVG TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-110,AV:3053110,CH1 VSD INTERNAL AMBIEN TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-111,AV:3053109,CH1 VSD CONVERTER HSINK TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-112,AV:3053119,CH1 PRE ROTATIONAL VANE POS,Vanes % Open
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-113,AV:3053118,CH1 ACC MAP OUTPUT FREQ,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-114,AV:3053117,CH1 REFRIGERANT LEVEL SP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-115,AV:3053116,CH1 DROP LEG REFRIG TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BO-1,BO:3053070,CH1 EQ COM FAIL,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-1,BV:3053064,CH1 REM START STOP CMD,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-3,BV:3053063,CH1 VSD FIXED SPEED SELECT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-5,BV:3053062,CH1 COMPR MOTOR STATUS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-6,BV:3053061,CH1 LIQUID LINE SOLENOID,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-7,BV:3053060,CH1 CHW PUMP STAT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-8,BV:3053059,CH1 STOP SWITCH STATUS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.BV-9,BV:3053058,CH1 CHW FLOW SWITCH STAT,
